df,0.995,0.975,0.2,0.1,0.05,0.025,0.02,0.01,0.005,0.002,0.001
1,0,0.001,1.642,2.706,3.841,5.024,5.412,6.635,7.879,9.55,10.828
2,0.01,0.051,3.219,4.605,5.991,7.378,7.824,9.21,10.597,12.429,13.816
3,0.072,0.216,4.642,6.251,7.815,9.348,9.837,11.345,12.838,14.796,16.266
4,0.207,0.484,5.989,7.779,9.488,11.143,11.668,13.277,14.86,16.924,18.467
5,0.412,0.831,7.289,9.236,11.07,12.833,13.388,15.086,16.75,18.907,20.515
6,0.676,1.237,8.558,10.645,12.592,14.449,15.033,16.812,18.548,20.791,22.458
7,0.989,1.69,9.803,12.017,14.067,16.013,16.622,18.475,20.278,22.601,24.322
8,1.344,2.18,11.03,13.362,15.507,17.535,18.168,20.09,21.955,24.352,26.124
9,1.735,2.7,12.242,14.684,16.919,19.023,19.679,21.666,23.589,26.056,27.877
10,2.156,3.247,13.442,15.987,18.307,20.483,21.161,23.209,25.188,27.722,29.588
11,2.603,3.816,14.631,17.275,19.675,21.92,22.618,24.725,26.757,29.354,31.264
12,3.074,4.404,15.812,18.549,21.026,23.337,24.054,26.217,28.3,30.957,32.909
13,3.565,5.009,16.985,19.812,22.362,24.736,25.472,27.688,29.819,32.535,34.528
14,4.075,5.629,18.151,21.064,23.685,26.119,26.873,29.141,31.319,34.091,36.123
15,4.601,6.262,19.311,22.307,24.996,27.488,28.259,30.578,32.801,35.628,37.697
16,5.142,6.908,20.465,23.542,26.296,28.845,29.633,32,34.267,37.146,39.252
17,5.697,7.564,21.615,24.769,27.587,30.191,30.995,33.409,35.718,38.648,40.79
18,6.265,8.231,22.76,25.989,28.869,31.526,32.346,34.805,37.156,40.136,42.312
19,6.844,8.907,23.9,27.204,30.144,32.852,33.687,36.191,38.582,41.61,43.82
20,7.434,9.591,25.038,28.412,31.41,34.17,35.02,37.566,39.997,43.072,45.315
21,8.034,10.283,26.171,29.615,32.671,35.479,36.343,38.932,41.401,44.522,46.797
22,8.643,10.982,27.301,30.813,33.924,36.781,37.659,40.289,42.796,45.962,48.268
23,9.26,11.689,28.429,32.007,35.172,38.076,38.968,41.638,44.181,47.391,49.728
24,9.886,12.401,29.553,33.196,36.415,39.364,40.27,42.98,45.559,48.812,51.179
25,10.52,13.12,30.675,34.382,37.652,40.646,41.566,44.314,46.928,50.223,52.62
26,11.16,13.844,31.795,35.563,38.885,41.923,42.856,45.642,48.29,51.627,54.052
27,11.808,14.573,32.912,36.741,40.113,43.195,44.14,46.963,49.645,53.023,55.476
28,12.461,15.308,34.027,37.916,41.337,44.461,45.419,48.278,50.993,54.411,56.892
29,13.121,16.047,35.139,39.087,42.557,45.722,46.693,49.588,52.336,55.792,58.301
30,13.787,16.791,36.25,40.256,43.773,46.979,47.962,50.892,53.672,57.167,59.703
40,20.707,24.433,47.269,51.805,55.758,59.342,60.436,63.691,66.766,70.618,73.402
50,27.991,32.357,58.164,63.167,67.505,71.42,72.613,76.154,79.49,83.657,86.661
60,35.534,40.482,68.972,74.397,79.082,83.298,84.58,88.379,91.952,96.404,99.607
70,43.275,48.758,79.715,85.527,90.531,95.023,96.388,100.425,104.215,108.929,112.317
80,51.172,57.153,90.405,96.578,101.879,106.629,108.069,112.329,116.321,121.28,124.839
90,59.196,65.647,101.054,107.565,113.145,118.136,119.648,124.116,128.299,133.489,137.208
100,67.328,74.222,111.667,118.498,124.342,129.561,131.142,135.807,140.169,145.577,149.449